id,city,lat,lng,country,iso2,capital
271,Neumarkt,49.2833,11.4667,Germany,DE,minor
272,Hückelhoven,51.0608,6.2197,Germany,DE,
273,Hofheim,50.0876,8.4447,Germany,DE,minor
274,Löhne,52.2,8.7,Germany,DE,
275,Schorndorf,48.8,9.5333,Germany,DE,
276,Stendal,52.6,11.85,Germany,DE,minor
277,Freital,51.0167,13.65,Germany,DE,
278,Völklingen,49.25,6.8333,Germany,DE,
279,Ettlingen,48.9333,8.4,Germany,DE,
280,Ostfildern,48.7228,9.2631,Germany,DE,
281,Maintal,50.15,8.8333,Germany,DE,
282,Buchholz in der Nordheide,53.3285,9.8621,Germany,DE,
283,Ahaus,52.0794,7.0134,Germany,DE,
284,Ilmenau,50.6872,10.9142,Germany,DE,
285,Mettmann,51.25,6.9667,Germany,DE,minor
286,Würselen,50.8247,6.1275,Germany,DE,
287,Bitterfeld,51.6167,12.3167,Germany,DE,
288,Bautzen,51.1814,14.4239,Germany,DE,minor
289,Pirna,50.9622,13.9403,Germany,DE,minor
290,Niederkassel,50.8167,7.0333,Germany,DE,
291,Langen,49.9893,8.6803,Germany,DE,
292,Greven,52.0917,7.6083,Germany,DE,
293,Fürstenfeldbruck,48.1778,11.2556,Germany,DE,minor
294,Neu Isenburg,50.0558,8.6971,Germany,DE,
295,Papenburg,53.0667,7.4,Germany,DE,
296,Kamp-Lintfort,51.5,6.5333,Germany,DE,
297,Backnang,48.9464,9.4306,Germany,DE,
298,Warendorf,51.9539,7.9933,Germany,DE,minor
299,Königs Wusterhausen,52.2917,13.625,Germany,DE,
300,Suhl,50.6106,10.6931,Germany,DE,minor
301,Beckum,51.7558,8.0408,Germany,DE,
302,Erding,48.3001,11.9082,Germany,DE,minor
303,Coesfeld,51.9458,7.1675,Germany,DE,minor
304,Mühlhausen,51.2167,10.45,Germany,DE,minor
305,Wesseling,50.8207,6.9786,Germany,DE,
306,Kehl,48.5711,7.8089,Germany,DE,
307,Emsdetten,52.1728,7.5344,Germany,DE,
